question,doc_id,unit_id,publish_date,effective_date,answer,id,domain,created_at,doc_type,source,region,role,status
数字金融发展要贯彻哪些新发展理念？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第二条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_1,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
银行业数字化转型需落实哪些会议精神？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第三条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_2,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融高质量发展的目标是什么？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第四条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_3,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融建设要服务好哪些重点领域？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第五条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_4,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
金融强国建设中数字金融扮演什么角色？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第六条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_5,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融发展如何守住风险底线？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第七条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_6,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融新范式需要具备哪些特征？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第八条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_7,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
未来五年数字金融发展的主要目标是什么？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_0,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字技术在金融领域要重点提升哪些能力？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_1,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数据要素在数字金融中如何实现价值转化？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_2,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融治理方面要取得哪些具体进展？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_3,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融服务重点支持哪些经济领域？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_4,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
科技绿色普惠养老领域怎么用数字金融支持？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_5,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融要重点支撑哪些重大战略和薄弱环节？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_6,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融良好实践需要具备什么特征？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_7,policy,2025-12-31T15:06:13.295952,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
监管数字化转型对资源配置有什么影响？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_8,policy,2025-12-31T15:06:13.296468,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
监管智能化转型如何提升穿透能力？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_9,policy,2025-12-31T15:06:13.296468,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
‘五大监管’能力建设需要哪些技术支撑？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_10,policy,2025-12-31T15:06:13.296468,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
金融监管‘长牙带刺’需要哪些数字化手段？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,未来五年，银行业保险业数字金融发展的主要目标是数字化转型取得积极进展，数字技术的驱动支撑能力和数据要素的价值转化能力显著增强，在数字金融治理、数字金融服务、数字技术应用、数据要素开发、数字风险防控等方面取得显著进步；深入探索挖掘数字技术和数据要素创新应用场景，持续提升对科技、绿色、普惠、养老等重点领域的金融服务质效，加大对重大战略、重点领域、薄弱环节的金融支撑，形成一批可复制推广的数字金融良好实践，推动资源配置更加优化，促进金融服务扩面、提质、增效；高效推动监管数字化智能化转型，提升监管穿透能力，全面支撑“五大监管”能力建设，助力金融监管“长牙带刺”、有棱有角。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_4_11,policy,2025-12-31T15:06:13.296501,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
金融机构数字金融发展要怎么规划？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-10-01,1. 强化数字金融顶层设计。金融机构要积极探索适合自身的数字金融发展路径，树立“上下一盘棋”思想，科学统筹制定数字金融发展规划。成立负责数字金融工作的领导小组或委员会，明确牵头部门和责任分工，建立数字金融评估考核体系并纳入机构整体考核方案。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_5_0,policy,2025-12-31T15:06:19.587413,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
